AreaSQFT,BuildingType,Trade,Complexity,Days
49000,Warehouse / Supermarket,Mech. Duct,9.5,15.33
49000,Warehouse / Supermarket,Domestic water,9.5,9.36
1100000,Residential,Power,9.5,71.24
11800,Industrial,Power,9.5,3.83
79000,Government,Mech. Duct,9.5,20.29
79000,Government,Domestic water,9.5,13.75
104094,School,Mech. Duct,9.5,31.79
104094,School,Domestic water,9.5,18.71
115000,School,Mech. Duct,9.5,34.72
61465,Government,Sanitary & Storm,9.5,17.13
124000,Residential,AV /Wireless,9.5,5.41
45000,Other Commercial,Power,9.5,13.53
201272,Residential,Mech. Duct,9.5,39.23
35000,Government,Lighting,9.5,4.96
347122,Industrial,Lighting,9.5,22.32
17800,Government,Fire Alarm,9.5,1.58
52143,Residential,Mech. Pipe,9.5,10.60
13250,Healthcare,Mech. Duct,9.5,4.06
141360,Warehouse / Supermarket,Power,10,10.68
23900,Healthcare,Sanitary & Storm,10,8.90
14520,College / University,Telecomm,10,4.45
103500,Office Building,Lighting,10,10.02
80000,School,Lighting,10,9.57
184374,College / University,Lighting,10,11.57
470174,School,Telecomm,10,20.48
36127,Healthcare,Telecomm,10,5.12
23500,Government,Mech. Pipe,10,7.57
222000,Residential,Lighting,10,17.03
104000,College / University,Fire Alarm,10,4.01
74964,School,Power,10,16.02
26000,School,Lighting,10,5.43
62000,Government,Sanitary & Storm,10,18.25
36000,Residential,Mech. Pipe,10,9.57
47000,Healthcare,Sanitary & Storm,10,18.70
47000,Healthcare,Domestic water,10,13.80
47000,Healthcare,Power,10,19.59
115000,College / University,Telecomm,10,7.43
150000,Healthcare,Power,10,23.81
108152,School,Mech. Pipe,10,18.70
50000,Warehouse / Supermarket,Mech. Duct,10,16.02
183000,School,Telecomm,10,11.57
80950,Warehouse / Supermarket,Power,10,10.68
114000,Office Building,Domestic water,10,14.24
78800,College / University,Sanitary & Storm,10,22.26
88000,Government,Telecomm,10,9.35
110000,School,Telecomm,10,8.90
132000,School,Mech. Duct,10,38.73
11800,Industrial,Telecomm,10,3.34
186000,Office Building,Lighting,10,11.66
116500,School,Domestic water,10,21.37
81900,School,Telecomm,10,8.23
104094,School,Sanitary & Storm,10,28.71
842043,Warehouse / Supermarket,Mech. Pipe,10,12.73
18878,Healthcare,Sanitary & Storm,10,6.68
143516,Residential,Power,10,26.43
55806,Warehouse / Supermarket,Lighting,10,4.34
55806,Warehouse / Supermarket,Telecomm,10,4.45
32638,Transport,Sanitary & Storm,10,8.46
79700,Industrial,Domestic water,10,16.25
166506,School,AV /Wireless,10,5.34
62500,Healthcare,Sanitary & Storm,10,24.48
62500,Healthcare,Domestic water,10,16.91
